exam_year_roc,exam_year_ad,exam_code,exam_name,exam_stage,candidate_scope,paper_id,paper_order,paper_code,paper_group,paper_title,included_subjects,duration_minutes,expected_question_count,points_per_question,max_score,source_question_url,source_answer_url,official_exam_page_url
110,2021,110120,110年公務人員特種考試司法官考試（第一試）及110年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,110-2301,1,2301,綜合法學(一),綜合法學(一)（憲法、行政法、國際公法、國際私法）,憲法|行政法|國際公法|國際私法,90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=110120&q=1&s=0101&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=110120&q=1&s=0101&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=110120&y=2021
110,2021,110120,110年公務人員特種考試司法官考試（第一試）及110年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,110-3301,2,3301,綜合法學(二),綜合法學(二)（民法、民事訴訟法）,民法|民事訴訟法,100,80,2.0,160,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=110120&q=1&s=0201&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=110120&q=1&s=0201&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=110120&y=2021
110,2021,110120,110年公務人員特種考試司法官考試（第一試）及110年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,110-4301,3,4301,綜合法學(二),綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,公司法|保險法|票據法|證券交易法|強制執行法|法學英文,80,70,2.0,140,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=110120&q=1&s=0202&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=110120&q=1&s=0202&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=110120&y=2021
110,2021,110120,110年公務人員特種考試司法官考試（第一試）及110年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,110-1301,4,1301,綜合法學(一),綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑法|刑事訴訟法|法律倫理,90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=110120&q=1&s=0301&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=110120&q=1&s=0301&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=110120&y=2021
111,2022,111120,111年公務人員特種考試司法官考試（第一試）及111年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,111-2301,1,2301,綜合法學(一),綜合法學(一)（憲法、行政法、國際公法、國際私法）,憲法|行政法|國際公法|國際私法,90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=111120&q=1&s=0101&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=111120&q=1&s=0101&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=111120&y=2022
111,2022,111120,111年公務人員特種考試司法官考試（第一試）及111年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,111-3301,2,3301,綜合法學(二),綜合法學(二)（民法、民事訴訟法）,民法|民事訴訟法,100,80,2.0,160,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=111120&q=1&s=0201&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=111120&q=1&s=0201&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=111120&y=2022
111,2022,111120,111年公務人員特種考試司法官考試（第一試）及111年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,111-4301,3,4301,綜合法學(二),綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,公司法|保險法|票據法|證券交易法|強制執行法|法學英文,80,70,2.0,140,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=111120&q=1&s=0202&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=111120&q=1&s=0202&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=111120&y=2022
111,2022,111120,111年公務人員特種考試司法官考試（第一試）及111年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,111-1301,4,1301,綜合法學(一),綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑法|刑事訴訟法|法律倫理,90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=111120&q=1&s=0301&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=111120&q=1&s=0301&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=111120&y=2022
112,2023,112120,112年公務人員特種考試司法官考試（第一試）及112年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,112-2301,1,2301,綜合法學(一),綜合法學(一)（憲法、行政法、國際公法、國際私法）,憲法|行政法|國際公法|國際私法,90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=112120&q=1&s=0101&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=112120&q=1&s=0101&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=112120&y=2023
112,2023,112120,112年公務人員特種考試司法官考試（第一試）及112年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,112-3301,2,3301,綜合法學(二),綜合法學(二)（民法、民事訴訟法）,民法|民事訴訟法,100,80,2.0,160,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=112120&q=1&s=0201&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=112120&q=1&s=0201&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=112120&y=2023
112,2023,112120,112年公務人員特種考試司法官考試（第一試）及112年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,112-4301,3,4301,綜合法學(二),綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,公司法|保險法|票據法|證券交易法|強制執行法|法學英文,80,70,2.0,140,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=112120&q=1&s=0202&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=112120&q=1&s=0202&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=112120&y=2023
112,2023,112120,112年公務人員特種考試司法官考試（第一試）及112年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,112-1301,4,1301,綜合法學(一),綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑法|刑事訴訟法|法律倫理,90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=112120&q=1&s=0301&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=112120&q=1&s=0301&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=112120&y=2023
113,2024,113110,113年公務人員特種考試司法官考試（第一試）及113年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,113-2301,1,2301,綜合法學(一),綜合法學(一)（憲法、行政法、國際公法、國際私法）,憲法|行政法|國際公法|國際私法,90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=113110&q=1&s=0101&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=113110&q=1&s=0101&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=113110&y=2024
113,2024,113110,113年公務人員特種考試司法官考試（第一試）及113年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,113-3301,2,3301,綜合法學(二),綜合法學(二)（民法、民事訴訟法）,民法|民事訴訟法,100,80,2.0,160,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=113110&q=1&s=0201&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=113110&q=1&s=0201&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=113110&y=2024
113,2024,113110,113年公務人員特種考試司法官考試（第一試）及113年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,113-4301,3,4301,綜合法學(二),綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,公司法|保險法|票據法|證券交易法|強制執行法|法學英文,80,70,2.0,140,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=113110&q=1&s=0202&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=113110&q=1&s=0202&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=113110&y=2024
113,2024,113110,113年公務人員特種考試司法官考試（第一試）及113年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,113-1301,4,1301,綜合法學(一),綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑法|刑事訴訟法|法律倫理,90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=113110&q=1&s=0301&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=113110&q=1&s=0301&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=113110&y=2024
114,2025,114110,114年公務人員特種考試司法官考試（第一試）及114年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,114-2301,1,2301,綜合法學(一),綜合法學(一)（憲法、行政法、國際公法、國際私法）,憲法|行政法|國際公法|國際私法,90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=114110&q=1&s=0101&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=114110&q=1&s=0101&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=114110&y=2025
114,2025,114110,114年公務人員特種考試司法官考試（第一試）及114年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,114-3301,2,3301,綜合法學(二),綜合法學(二)（民法、民事訴訟法）,民法|民事訴訟法,100,80,2.0,160,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=114110&q=1&s=0201&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=114110&q=1&s=0201&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=114110&y=2025
114,2025,114110,114年公務人員特種考試司法官考試（第一試）及114年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,114-4301,3,4301,綜合法學(二),綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,公司法|保險法|票據法|證券交易法|強制執行法|法學英文,80,70,2.0,140,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=114110&q=1&s=0202&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=114110&q=1&s=0202&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=114110&y=2025
114,2025,114110,114年公務人員特種考試司法官考試（第一試）及114年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,114-1301,4,1301,綜合法學(一),綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑法|刑事訴訟法|法律倫理,90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=114110&q=1&s=0301&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=114110&q=1&s=0301&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=114110&y=2025
